Story_Index,Story_Text_Preview,Role_Similarity,Means_Similarity,Ends_Similarity,Average_Similarity,Role_Chunked,Role_GT,Means_Chunked,Means_GT,Ends_Chunked,Ends_GT
11,As a cataloger or collection manager I want to see...,1.000,0.974,0.971,0.982,"cataloger, collection manager","cataloger, collection manager",see all of the metadata for a record while I am editing it,see all of the metadata for a record while I'm editing it,I have the full context for the item I am cataloging,I have the full context for the item I'm cataloging
12,As a cataloger or collection manager I want to be ...,1.000,1.000,1.000,1.000,"cataloger, collection manager","cataloger, collection manager",edit an arbitrary number of Items at once,edit an arbitrary number of Items at once,I can make changes to all Items in a collection efficiently,I can make changes to all Items in a collection efficiently
13,As a collection manager I want each record to have...,1.000,1.000,1.000,1.000,collection manager,collection manager,each record to have a status,each record to have a status,I can track the progress of the records in the collection,I can track the progress of the records in the collection
14,As a collection manager I want statuses to include...,1.000,0.977,0.985,0.987,collection manager,collection manager,statuses include a status that flags a record as having a problem,statuses to include a status that flags a record as having a problem,we can track issues as they arise,we can track issues as the arise
15,As a cataloger I want Trident to support the UTF- ...,1.000,1.000,1.000,1.000,cataloger,cataloger,Trident to support the UTF- character set,Trident to support the UTF- character set,I can use any character necessary when creating metadata,I can use any character necessary when creating metadata
16,As a collection manager I want to map fields in in...,1.000,1.000,1.000,1.000,collection manager,collection manager,map fields in inherited metadata to Duke Core fields and import a spreadsheet and create records,map fields in inherited metadata to Duke Core fields and import a spreadsheet and create records,,
17,As a collection manager I want to import metadata ...,1.000,1.000,1.000,1.000,collection manager,collection manager,import metadata and create records from a DCP digitazation guide,import metadata and create records from a DCP digitazation guide,,
18,As a Archivist I want bi-directional linking betwe...,1.000,1.000,1.000,1.000,Archivist,Archivist,bi-directional linking between items in the digital collections and EAD finding aids,bi-directional linking between items in the digital collections and EAD finding aids,,
19,As a End User I want to be able to see the physica...,1.000,1.000,1.000,1.000,End User,End User,see the physical context of an Item in a digital collection,see the physical context of an Item in a digital collection,,
20,As a Collection Manager I want my collection to be...,1.000,0.923,1.000,0.974,Collection Manager,Collection Manager,my collection is discoverable in the Catalog,my collection to be discoverable in the Catalog,,
21,As a Digital Production User (DPU) I want to be ab...,1.000,1.000,1.000,1.000,Digital Production User (DPU),Digital Production User (DPU),create Components,create Components,,
22,As a DPU I want to create Technical Metadata with ...,1.000,1.000,1.000,1.000,DPU,DPU,create Technical Metadata with for Component,create Technical Metadata with for Component,,
23,As a cataloger or collection manager I want to be ...,1.000,1.000,1.000,1.000,"cataloger, collection manager","cataloger, collection manager",use a grid/spreadsheet style interface,use a grid/spreadsheet style interface,I can edit Items quickly,I can edit Items quickly
24,As a DPU I want to create Preservation Metadata fo...,1.000,1.000,1.000,1.000,DPU,DPU,create Preservation Metadata for a Component,create Preservation Metadata for a Component,,
25,As a DPU I want to upload master surrogates to a C...,1.000,1.000,1.000,1.000,DPU,DPU,upload master surrogates to a Component,upload master surrogates to a Component,,
26,As a DPU I want to add one or more Components to a...,1.000,1.000,1.000,1.000,DPU,DPU,add one or more Components to an Item,add one or more Components to an Item,,
27,As a DPU I want to create structural metadata for ...,1.000,1.000,1.000,1.000,DPU,DPU,create structural metadata for an Item,create structural metadata for an Item,I can define the sequence of components,I can define the sequence of components
28,As a Digital Production Developer (DPD) I want to ...,1.000,1.000,1.000,1.000,Digital Production Developer (DPD),Digital Production Developer (DPD),group components that require digitization,group components that require digitization,"I can create ""digitizable units""","I can create ""digitizable units"""
29,As a DPU I want to check-out/check-in groups of Co...,1.000,1.000,1.000,1.000,DPU,DPU,check-out/check-in groups of Components,check-out/check-in groups of Components,,
30,As a DPD I want to verify the correctness and comp...,1.000,1.000,1.000,1.000,DPD,DPD,verify the correctness and completeness of components,verify the correctness and completeness of components,I can ensure quality standards are met,I can ensure quality standards are met
31,As a DPD I want to capture digitization statistics...,1.000,1.000,1.000,1.000,DPD,DPD,capture digitization statistics,capture digitization statistics,I can monitor Operator efficiency and make projections for future projects,I can monitor Operator efficiency and make projections for future projects
32,As a DPU I want Trident to create derivatives for ...,1.000,0.974,1.000,0.991,DPU,DPU,Trident create derivatives for me when I upload a Master,Trident to create derivatives for me when I upload a Master,,
33,As a User I want to monitor the progress of a digi...,1.000,1.000,1.000,1.000,User,User,monitor the progress of a digital collection project,monitor the progress of a digital collection project,,
34,As a cataloger I want to be able to save a record ...,1.000,1.000,1.000,1.000,cataloger,cataloger,save a record without all of the required metadata,save a record without all of the required metadata,I can start a record with the metadata I have and come back to finish it later,I can start a record with the metadata I have and come back to finish it later
35,As a user I want to see how many Items have been d...,1.000,1.000,1.000,1.000,user,user,see how many Items have been digitized,see how many Items have been digitized,,
36,As a user I want to see how many digitized Items h...,1.000,1.000,1.000,1.000,user,user,see how many digitized Items have been described,see how many digitized Items have been described,,
37,As a user I want to see how many Items have been p...,1.000,1.000,1.000,1.000,user,user,see how many Items have been published,see how many Items have been published,,
38,As Collection Manager or Sponsor I want to describ...,1.000,1.000,1.000,1.000,"Collection Manager, Sponsor","Collection Manager, Sponsor",describe the collection,describe the collection,,
39,As a Preservation Librarian I want the relationshi...,1.000,0.980,0.903,0.961,Preservation Librarian,Preservation Librarian,the relationship between masters and derivatives be managed by the system,the relationship between masters and derivatives to be managed by the system,I do not have to,I don't have to
40,As a Metadata Librarian I want to define the metad...,1.000,1.000,1.000,1.000,Metadata Librarian,Metadata Librarian,define the metadata schema for a collection,define the metadata schema for a collection,,
41,As a Metadata librarian I want to define Authoriti...,1.000,1.000,1.000,1.000,Metadata librarian,Metadata librarian,define Authorities to be used for specific fields in a collection MD Schema,define Authorities to be used for specific fields in a collection MD Schema,,
42,As a Metadata Librarian I want to define validatio...,1.000,1.000,1.000,1.000,Metadata Librarian,Metadata Librarian,define validation rules for specific fields in a collection,define validation rules for specific fields in a collection,,
43,As a Metadata Librarian I want validation rules en...,1.000,1.000,1.000,1.000,Metadata Librarian,Metadata Librarian,validation rules enforced when MD is submitted,validation rules enforced when MD is submitted,,
44,As a user I want to be able to save a record only ...,1.000,1.000,0.976,0.992,user,user,save a record only when the record has an identifier,save a record only when the record has an identifier,we do not end up with a bunch of empty records in the collection,we don't end up with a bunch of empty records in the collection
45,As a cataloger I want a list of all of the records...,1.000,1.000,1.000,1.000,cataloger,cataloger,a list of all of the records I have access to,a list of all of the records I have access to,I can get to work quickly,I can get to work quickly
46,As a collection manager I want to search for recor...,1.000,1.000,1.000,1.000,collection manager,collection manager,search for records based on status,search for records based on status,I can track the progress of a collection,I can track the progress of a collection
47,As a cataloger or collection manager I want to be ...,1.000,1.000,1.000,1.000,"cataloger, collection manager","cataloger, collection manager",search for records based on all Duke Core fields,search for records based on all Duke Core fields,,
48,As a user I want to be able to publish records onl...,1.000,1.000,1.000,1.000,user,user,publish records only when the record has a Title Identifier Type and Source,publish records only when the record has a Title Identifier Type and Source,,
